OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,spendMoreTimeDestinationKentState,favoritePartDestinationKentState,expectedAsAKentStateStudent,anyAdditionalComments
['response'],['response'],['response'],['response'],['response'],['response'],['response']
['nan'],['nan'],['nan'],['nan'],['nan'],"['graduate', 'diploma', 'give', 'money']",['nan']
,,,,,,
['nan'],['nan'],['nan'],"['campus', 'tour']",['lunch'],['best'],['nan']
['nan'],['nan'],['nan'],['nan'],"['spend', 'night', 'dorm', 'helpful']","['involve', 'campus', 'activity', 'maintain', 'solid', 'academic', 'record']",['nan']
,,,,,,
,,,,,,
['nan'],['nan'],['nan'],[],"['would', 'tour', 'downtown', 'kent', 'walk', 'around', 'downtown', 'great', 'opportunity', 'navigate', 'city', 'kent', 'even']","['carry', 'e', 'action', 'word', 'decision', 'way', 'represent', 'kent', 'state', 'university', 'well']",['nan']
['nan'],['nan'],['nan'],"['college', 'different', 'high', 'school']","['talk', 'flash', 'guide', 'experience']","['work', 'time', 'without', 'procrastinate']",['nan']
['nan'],['nan'],['nan'],['nan'],"['talk', 'life', 'like', 'campus', 'personal', 'experience', 'kent']","['well', 'show', 'community', 'behave', 'great', 'human']",['nan']
,,,,,,
"['make', 'sure', 'set', 'good', 'amount', 'time', 'aside', 'exam']","['allow', 'time', 'student', 'plan', 'schedule', 'meet']",['nan'],"['make', 'sure', 'student', 'get', 'walk', 'class', 'know', 'list', 'schedule', 'never', 'get', 'opportunity']","['favorite', 'part', 'hear', 'story', 'show', 'real', 'experience', 'student', 'university']","['believe', 'expect', 'follow', 'rule', 'try', 'best', 'everything']",['nan']
['nan'],['nan'],['nan'],"['buy', 'book']",['food'],"['live', 'goal', 'expectation']",['nan']
['nan'],['nan'],['nan'],"['bill', 'process']","['downtown', 'tour', 'great', 'way', 'get', 'feel', 'surround']",['succeed'],['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['class', 'fail']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['self', 'sufficient', 'independent', 'responsible']",['nan']
,,,,,,
"['level', 'difficulty', 'test', 'maybe', 'easy', 'question', 'first', 'hard', 'next', 'mix', 'sudden', 'pop', 'hard', 'question', 'spend', 'extra', 'time', 'kind', 'throw', 'frustrate', 'cause', 'motivation', 'continue', 'test', 'poor', 'keep', 'steady', 'balance', 'pace']","['incredibly', 'helpful', 'take', 'time', 'schedule', 'class', 'really', 'connect', 'another', 'lovely', 'lady', 'help', 'understand', 'class', 'consist', 'appreciate', 'kent', 'state', 'staff', 'wonderful', 'true', 'honesty', 'lovely', 'people', 'grateful', 'every', 'one', 'peace', 'love']","['beautiful', 'experience', 'full', 'genuinely', 'wonderful', 'people', 'knowledge', 'make', 'kent', 'state', 'university', 'undeniably', 'kent', 'state', 'love', 'much', 'thankful', 'information', 'goody', 'happy', 'wait', 'attend', 'see', 'soar', 'fall', 'support', 'kent', 'staff', 'incredibly']","['tour', 'please', 'also', 'snack', 'would', 'great']","['really', 'enjoy', 'guy', 'include', 'really', 'allow', 'thing', 'flow', 'nicely', 'also', 'tour', 'much', 'fun', 'happy']","['success', 'genuine', 'happiness']","['appreciate', 'every', 'one', 'supporter', 'future']"
['nan'],['nan'],['nan'],['nan'],"['go', 'town', 'able', 'walk', 'around', 'make', 'new', 'friend', 'way']","['get', 'involve', 'succeed']",['nan']
['nan'],"['appointment', 'meet', 'socialize']",['nan'],"['student', 'athlete', 'live', 'campus', 'summer', 'attend', 'destination', 'kent', 'least', 'put', 'athlete', 'together', 'talk', 'adaptation', 'different', 'normal', 'student']",['nan'],['well'],['nan']
"['multiple', 'choice', 'answer', 'could', 'right', 'cause', 'wright', 'different', 'order', 'count', 'wrong']","['good', 'backup', 'plan', 'gas', 'leak', 'happen', 'leader', 'know', 'go', 'wild', 'goose', 'chase']",['nan'],['nan'],['fair'],['nice'],['nan']
,,,,,,
['nan'],['nan'],['nan'],"['tour', 'campus', 'downtown', 'give', 'time']","['first', 'lecture', 'section']","['grow', 'personally', 'academically', 'throughout', 'time', 'kent', 'state', 'student']",['nan']
['nan'],['nan'],['nan'],['nan'],"['like', 'night', 'time', 'social']","['best', 'get', 'help', 'many', 'resource', 'need']",['nan']
