OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,DestinationKentState,anyAdditionalComments
['response'],['response'],['response'],['response'],['response'],['response'],['response']
['nan'],['nan'],['nan'],['nan'],['nan'],"['meet', 'new', 'people', 'become', 'comfortable', 'campus']",['nan']
['nan'],['nan'],['nan'],"['flash', 'guide', 'help', 'u', 'connect']",['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],['nan'],"['felt', 'bite', 'lose', 'campus', 'maybe', 'quick', 'guide', 'main', 'build', 'campus']","['listen', 'flash', 'guide', 'story']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['favorite', 'part', 'get', 'class', 'shortly', 'purchase', 'otto', 'book', 'sit', 'tree', 'field', 'begin', 'read']",['nan']
"['way', 'student', 'see', 'many', 'question', 'many', 'already', 'answer']",['nan'],['nan'],"['time', 'small', 'group']","['summer', 'assignment', 'need', 'do', 'access']",['nan'],['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['tour', 'downtown', 'kent', 'state', 'follow', 'party']",['nan']
['nan'],['nan'],['nan'],['chill'],['party'],['party'],['nan']
['nan'],"['discourage', 'take', 'credit', 'hour', 'fist', 'semester', 'would', 'like', 'take', 'minimum', 'hour', 'would', 'like', 'possibly', 'look', 'hour', 'fully', 'aware', 'personal', 'limitation', 'know', 'large', 'handle', 'look', 'change', 'schedule', 'woman', 'meet', 'unfortunately', 'never', 'inform', 'name', 'concern', 'compare', 'enthusiasm', 'career', 'feel', 'harry', 'potter', 'pay', 'attention', 'goal']",['nan'],['nan'],['nan'],['nan'],['nan']
"['include', 'optional', 'lecture', 'information', 'new']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],"['comment', 'force', 'athlete', 'attend', 'already', 'schedule', 'administration', 'address', 'extremely', 'bore']",['nan'],"['two', 'time', 'two', 'different', 'session', 'discus', 'beat', 'dead', 'horse', 'one']","['love', 'discussion', 'tutor', 'available', 'library']",['nan']
"['great', 'experience', 'much', 'look', 'forward', 'freshman', 'fall']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],"['fun', 'interactive', 'cool']",['nan'],"['social', 'situation', 'involve', 'moment', 'parent', 'around']","['tour', 'tour', 'campus', 'downtown', 'area', 'since', 'college', 'art', 'science', 'large', 'get', 'opportunity', 'tour', 'downtown', 'leave', 'u']","['love', 'talk', 'flash', 'guide', 'talk', 'advisor', 'get']",['nan']
"['function', 'well', 'easy', 'follow', 'tutorial', 'exam']","['academic', 'adviser', 'great', 'really', 'nervous', 'inconvenience', 'uncertainty', 'felt', 'like', 'ready', 'take', 'anything', 'excite', 'sort', 'bring', 'stability', 'uncertain', 'life']",['nan'],"['think', 'really', 'fault', 'school', 'meet', 'people', 'disinterested', 'one', 'genuinely', 'scar', 'think', 'sort', 'luck', 'thing', 'probably', 'could', 'make', 'friend', 'meet', 'people', 'somehow', 'outgo', 'person']","['would', 'add', 'sort', 'event', 'make', 'friend', 'student', 'like', 'thing', 'describe', 'interest', 'maybe', 'become', 'friend']","['really', 'like', 'hear', 'story', 'split', 'college', 'play', 'game']",['nan']
"['would', 'suggest', 'streamline', 'interface', 'constant', 'click', 'create', 'form', 'answer', 'mildly', 'frustrate', 'felt', 'little', 'tedious', 'felt', 'take', 'long', 'result', 'also', 'believe', 'would', 'beneficial', 'offer', 'proctor', 'version', 'local', 'campus']","['meet', 'academic', 'advisor', 'excellent', 'result', 'feel', 'comfortable', 'go', 'fall', 'although', 'wish', 'know', 'class', 'need', 'take', 'time', 'take', 'long', 'experience', 'academic', 'advise', 'felt', 'like', 'go', 'blind', 'little', 'handle', 'option', 'hand', 'frustrate']",['nan'],"['extent', 'trouble', 'connect', 'people', 'schedule', 'rush', 'manage', 'easy', 'thing', 'especially', 'little', 'introvert', 'begin']","['transportation', 'still', 'idea', 'handle', 'bus', 'system', 'local', 'form', 'transportation']","['enjoy', 'split', 'meet', 'people', 'specific', 'college', 'meet', 'people', 'really', 'get', 'along', 'likely', 'around', 'time', 'university']",['nan']
['nan'],['nan'],['nan'],"['first', 'day', 'spend', 'lot', 'time', 'family', 'difficult', 'meet', 'new', 'people', 'finally', 'break', 'parent', 'couple', 'icebreaker', 'group', 'large', 'hard', 'make', 'connection']","['book', 'set', 'dorm', 'room', 'loft', 'half', 'loft', 'rearrange', 'furniture', 'exact', 'dimension', 'dresser', 'desk', 'closet', 'would', 'nice', 'go', 'detail', 'first', 'class', 'look', 'like']","['love', 'explore', 'specific', 'college']",['nan']
"['clear', 'enough', 'start', 'math', 'placement', 'test', 'long', 'go', 'take', 'resource', 'need', 'accessible']",['nan'],"['take', 'placement', 'test', 'arrival', 'tell', 'take', 'safety', 'presentation', 'believe', 'irresponsible', 'due', 'fact', 'incident', 'set', 'fire', 'alarm', 'morning']",['nan'],"['highlight', 'psychological', 'service', 'function', 'department', 'kent']",['nan'],"['thank', 'read', 'da', 'real']"
['nan'],['nan'],['nan'],['nan'],"['buy', 'book', 'electronics']",['nan'],['nan']
['nan'],['nan'],['nan'],['nan'],"['organization', 'club', 'campus']","['party', 'night', 'tour', 'downtown']",['nan']
['nan'],['nan'],"['amaze', 'specifically', 'blue', 'team', 'help', 'much']",['nan'],"['actual', 'campus', 'tour', 'show', 'u', 'eat', 'area', 'show', 'u', 'inside', 'library', 'show', 'u', 'around', 'campus']","['interact', 'blue', 'team']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],['party'],['nan']
"['maybe', 'short', 'version', 'survey', 'use', 'roommate', 'people', 'room', 'roommate', 'different', 'sleep', 'habit', 'make', 'hard', 'sleep', 'survey', 'sleep', 'habit', 'would', 'problem']",['nan'],['nan'],['nan'],"['take', 'u', 'see', 'assign', 'dorm', 'room', 'give', 'u', 'time']","['time', 'spend', 'kiva', 'guest', 'speaker']",['nan']
['nan'],['nan'],['nan'],['different'],['nan'],['nan'],['nan']
"['somehow', 'study', 'guide', 'feel', 'truly', 'test', 'ur', 'ability', 'math', 'fact', 'nothing', 'look', 'currently', 'stuff', 'equation', 'able', 'answer', 'correctly']","['wish', 'option']","['helpful', 'good', 'experience']","['separate', 'favorite', 'sport', 'something']","['park', 'freshman', 'get', 'shuttle']","['favorite', 'part', 'kiva', 'flash', 'guide']",['nan']
"['nope', 'good']","['wonderful', 'advise', 'team', 'really', 'seem', 'want', 'u', 'individually', 'success', 'college', 'career']",['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],"['disappoint', 'class', 'full', 'advisor', 'issue', 'fill', 'schedule']",['nan'],['nan'],"['bring', 'dorm', 'allow', 'dorm']","['meet', 'friend']",['nan']
['nan'],['nan'],['nan'],['nan'],['academic'],"['schedule', 'class']",['nan']
['nan'],"['felt', 'bite', 'overwhelm', 'everything', 'give']","['good', 'way', 'settle', 'overwhelm', 'information', 'give']",['nan'],['nan'],['nan'],['nan']
['nan'],"['schedule', 'class', 'current', 'student', 'meet', 'advisor', 'yet', 'wish', 'vice', 'wish', 'get', 'advice', 'directly', 'academic', 'advisor', 'class', 'take']","['lot', 'talk', 'directly', 'v', 'talk', 'ask', 'question', 'make', 'tire', 'ballroom', 'hard', 'time', 'absorb', 'information', 'feel', 'would', 'good', 'read', 'packet', 'talk', 'small', 'group']",['nan'],['nan'],['nan'],['nan']
['nan'],"['advisor', 'helpful', 'informative', 'situation', 'take', 'time', 'make', 'session', 'personalize', 'could', 'tell', 'spend', 'lot', 'time', 'effort', 'help', 'put', 'together', 'schedule']",['nan'],['nan'],['nan'],['nan'],['nan']
"['would', 'like', 'campus', 'tour']",['nan'],,['nan'],['nan'],"['free', 'time', 'go', 'town']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['dinner', 'really', 'appreciate', 'tour', 'downtown', 'kent', 'able', 'learn', 'way', 'around', 'downtown', 'kent', 'around', 'campus', 'well']",['nan']
"['help', 'button', 'incase', 'someone', 'forget', 'use', 'certain', 'function']","['would', 'enjoy', 'meet', 'advisor', 'personally', 'since', 'appointment']",['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],"['advisor', 'friendly', 'patient', 'really', 'help', 'create', 'schedule', 'perfect', 'make', 'sure', 'absolutely', 'satisfy']",['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],['none'],['none'],"['favorite', 'part', 'connect', 'another', 'student', 'southern', 'enjoy', 'get', 'know', 'show', 'around', 'kent', 'surround', 'area', 'local']",['nan']
['nan'],['nan'],['nan'],['nan'],"['first', 'stuff']","['flash', 'guide', 'best', 'part']",['nan']
"['information', 'test']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],"['honestly', 'clue', 'good', 'make', 'short', 'term', 'connection']",['nan'],"['get', 'know', 'flash', 'guide', 'really', 'cool']",['nan']
"['make', 'confuse', 'type', 'answer']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],"['quite', 'overwhelm', 'go', 'well']","['repetition', 'somewhat', 'drag', 'good', 'introduction', 'option', 'choice', 'accessible', 'student', 'minimize', 'informational', 'overload', 'well']",['nan'],"['look', 'complete', 'four', 'year', 'graduation']",['people'],['nan']
['nan'],['nan'],['nan'],"['time', 'socialize']",['nan'],"['love', 'get', 'hangout', 'everyone', 'night', 'make', 'friend']",['nan']
