OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,favoritePartDestinationKentState,anyAdditionalComments
['response'],['response'],['response'],['response'],['response'],['response'],['response']
['nan'],"['friendly', 'helpful', 'would', 'nice', 'get', 'class', 'description', 'book', 'give', 'u']",['nan'],['nan'],['nan'],"['meet', 'new', 'people', 'talk', 'guide']",['nan']
['nope'],['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
"['take', 'assessment', 'year', 'remember', 'enough', 'give', 'accurate', 'feedback']","['technical', 'difficulty', 'schedule', 'session', 'force', 'advisor', 'spend', 'little', 'extra', 'time', 'though', 'thankfully', 'delay', 'next', 'student']","['session', 'would', 'like', 'attend', 'opportunity', 'limit', 'four', 'session']","['energy', 'walk', 'day']","['something', 'would', 'enjoy', 'tour', 'class', 'would', 'schedule', 'day', 'two']","['academic', 'advise', 'favorite', 'part', 'important', 'get', 'general', 'knowledge', 'campus', 'way', 'function', 'fine', 'know', 'go', 'get', 'goal', 'much', 'good']","['place', 'karaoke', 'session', 'right', 'outside', 'dorm', 'window', 'open', 'really', 'difficult', 'sleep']"
['nan'],['nan'],['nan'],['nan'],['nan'],"['academic', 'advisor', 'kind', 'understand', 'nervousness', 'enter', 'college', 'help', 'schedule', 'class', 'would', 'best', 'feel', 'prepare', 'start', 'school', 'fall']",['nan']
['take'],['nan'],['nan'],['nan'],['require'],"['freedom', 'choose', 'session', 'even', 'blast']",['nan']
"['take', 'mine', 'student']","['stick', 'credit', 'aspect', 'schedule', 'listen', 'need', 'please', 'keep', 'mind', 'student', 'pay', 'college', 'money', 'waste', 'class', 'pointless', 'contribute', 'degree']","['please', 'make', 'engage', 'student', 'already', 'go', 'college', 'student', 'repetitive', 'matter', 'many', 'time', 'everyone', 'kent', 'campus', 'swear', 'completely', 'different', 'one', 'go', 'could', 'find', 'anything', 'besides', 'resident', 'service', 'different']","['feel', 'force', 'attend', 'another', 'orientation', 'already', 'attend', 'one']","['add', 'short', 'alternative', 'program', 'student', 'already', 'tell', 'everything', 'say', 'orientation', 'also', 'go', 'swear', 'entirely', 'different', 'orientation', 'another', 'campus', 'actually', 'make', 'entirely', 'different', 'second', 'orientation', 'happy', 'find', 'basically', 'everyone', 'tell', 'entirely', 'different', 'thing', 'different', 'resident', 'service', 'make', 'student', 'listen', 'stay', 'residence', 'hall']","['nothing', 'really', 'appreciate', 'go', 'another', 'orientation', 'find', 'tell', 'exact', 'thing', 'hassle', 'schedule', 'waste', 'time', 'take', 'work', 'pay', 'college', 'take', 'entire', 'day', 'attend']","['please', 'please', 'please', 'make', 'engage', 'student', 'already', 'college', 'experience', 'rather', 'unfair', 'force', 'sit', 'stuff', 'already', 'listen', 'try', 'make', 'option', 'student', 'commute', 'felt', 'really', 'place', 'speech', 'include', 'thing', 'live', 'campus', 'apply', 'also', 'try', 'lie', 'student', 'force', 'take', 'another', 'orientation', 'really', 'completely', 'different', 'quote', 'multiple', 'people', 'kent', 'campus', 'tell', 'false']"
"['take', 'soon', 'possibly', 'prevent', 'forget']",['nan'],['nan'],['nan'],['nan'],"['favorite', 'part', 'experience', 'schedule', 'class', 'hear', 'confession', 'story']",['nan']
"['stop', 'make', 'hard']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],"['advisor', 'helpful', 'kind', 'area']",['nan'],['nan'],['nan'],"['staff', 'student', 'nice', 'helpful']",['nan']
