OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,DestinationKentState,anyAdditionalComments
Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
,,,,,Meeting new people and becoming comfortable with the campus. ,
,,,A flash guide helped us connect ,,,
,,,,I felt a bit lost on the campus. Maybe a quick guide on the main buildings of the campus. ,Listening to the flash guide stories. ,
,,,,,,
,,,,,My favorite part was getting my classes then shortly afterwords purchasing Kate Otto's book and sitting under a tree in manchester field and began reading.,
I have a way for the students can see how many questions there are and how many they already answered. ,,,more time in smaller groups. ,summer assignments that needs to be done and how to access them online.,,
,,,,,,
,,,,,The tour of Downtown Kent State and then the following party,
,,,Being chill ,Parties ,The party,
,,,,,,
,"I was discouraged from taking more than 15 credit hours in my fist semester.  I would like to take a minimum of 18 hours, and would like to possibly look into 21 hours.  I am fully aware of my personal limitations, and I know how large of a workload I can handle.  I am looking into changing my schedule because the woman I met with (unfortunately, she never informed me of her name) was more concerned with comparing my enthusiasm for my career with how she feels about Harry Potter that paying attention to my goals.",,,,,
,,,,,,
Include more optional lectures for students/parents...some if not most of the information was not new ,,,,,,
,,,,,,
,,,,,,
,,I have the same comment about forcing athletes to attend when they already have their schedules.  The Administration Address was extremely boring.  ,N/A,"NOT the FERPA.  There were two times, in two different sessions, where this was discussed.  DKS beat a dead horse on that one.",I loved the discussion about tutoring and what is available at the library.,
DKS was a great experience and I very much look forward to being a freshman in the fall!,,,,,,
,It was fun and interactive and cool. ,,More social situations that didn't involve moments when the parents were around.,"Tours. Tour of the campus and downtown areas. Since the college of arts and science was so large, we didn't get the opportunity to tour downtown. That was left up to us.",I loved talking with the flash guides and talking with the Advisor and getting my Flashcard. ,
,,,,,,
"No, the website itself functioned well and had a very easy to follow tutorial before the exam.","My academic adviser was great! I was really nervous to inconvenience them with my uncertainty, but I felt like they were ready to take on anything. I'm excited, it sort of brings stability in this uncertain life.",,"I think that wasn't really the fault of the school. I met some people, some that I was disinterested in, and one that genuinely scared me. I think it was sort of a luck thing, because I probably could have made friends if I met some other people somehow. I'm just not the most outgoing person, is all.","I would add some sort of event where you can make friends with other students, like a speeddating thing where you describe yourself, your interests, and then maybe become friends.","I really liked the flashguides- hearing their stories, and when we split into our colleges and played games with the flashguides.",
"I would suggest streamlining the interface. The constant clicking to create the form of the answer was mildly frustrating, and felt a little tedious. I felt as if it took longer than it should have as a result. I also believe it would be beneficial to offer a proctored version at the local campuses of test-takers.","My meeting with my academic advisor was excellent, and as a result I feel very comfortable with what I will be going into this fall, although I do wish that I had known more about classes and what I needed to take or had time to take long before DKS and my experience with Academic Advising. I felt like I was going in blind and had very little handle on my options before hand, which was very frustrating.",,"To some extent, I had trouble connecting with people because the schedule was so rushed. I managed, but it wasn't the easiest thing, especially being that I am a little introverted to begin with.",TRANSPORTATION! I still have no idea how to handle the bus system or other local forms of transportation. ,"I enjoyed the splitting up and meeting with people in your specific college. I met people I really got along with, and who I will most likely be around during my time at the University.",
,,,"In the first day at DKS we spent a lot of time with our families, so it was difficult meeting new people. Then when we finally broke off from our parents, we did a couple icebreakers, but the groups were so large and it was very hard making connections with others.","Buying/Renting books, how to set up your dorm room(how to: loft, half loft, rearrange furniture etc), exact dimensions of the dresser, desk and closet. It would be nice if the Flashguides went further into detail about what the first week-month of classes looks like. ",I loved exploring our specific colleges. ,
It was not clear enough before I started the math placement test how long it was going to take and what resources I needed to have accessible.,,For those who did not take their placement test before arrival were told to take it during the safety presentations which I believe was irresponsible due to the fact that there was a vaping incident that set off the fire alarm at 2:30 in the morning. ,,Highlight the psychological services and the function of more of the departments at Kent,,Thank you for reading these :) you da real mvp
,,,,,,
,,,,,,
,,,,How to buy books and electronics,,
,,,,More about organization and clubs on campus.,The party at night after we tour downtown.,
,,,,,,
,,,,,,
,,The FlashGuides were AMAZING. Specifically Bella and Monica from Blue Team helped me so much.,,"Do an actual campus tour, show us all the eating areas, show us the inside of the library, etc. just show us around campus.",Interacting with the FlashGuides (Blue Team).,
,,,,,The party,
Maybe do a shorter version of the survey you use for roommates for the people that we roomed with. My roommate and I had different sleeping habits which made it hard for me to sleep. If we did a survey about sleeping habits it would've been less of a problem.,,,,Taking us to see our assigned dorm room or give us the time to.,Any time spent in the Kiva with the flashguides and guest speakers,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,Different roomate,,,
Somehow have a study guide or what not because I don’t feel that it truly tested ur ability to do math because of the fact that there’s nothing to look over and you weren’t currently doing stuff with the equations to be able to answer it correctly ,I wish I had an option to not have a 7:45,It was very helpful and a  Good experience ,Separating into our favorite sports or something ,Parking for freshman and how to get shuttle ,My favorite part was the kiva with the flash guides ,
"Nope, it was good.","It was wonderful, the advising team really seems to want us all individually to have success in our college career.",,,,,
,,,,,,
,It was disappointing that all the classes were full so my advisor and I had some issues filling my schedule ,,,What can and cannot be brought to the dorms and what we aren’t allowed to do in the dorms,Meeting friends ,
,,,,academics ,scheduling classes,
,,,,,,
,I felt a bit overwhelmed with everything given to me. ,Better ways to settle the overwhelming information being given.,,,,
,"I scheduled my classes with a current student and then met an acedwmic advisor, yet I wish it was vice versa, I wish I could’ve gotten more advice directly from my academic advisor on what classes to take and why ","There was a lot of being talked directly at vs being talked with and asked questions, it made me very very tired anytime we were in the ballroom and I had a hard time absorbing information. I feel it would be better to just read that info in a packet or talk about it in small groups ",,,,
,My advisors were very helpful and informative with our situation. They took their time and made out session personalized. You could tell they spent a lot of time and effort helping to put together our schedule. ,,,,,
,,,,,,
,,,,,,
I would have liked a campus tour ,,,,,Evenin having free time and going down town ,
,,,,,"After dinner, I really appreciated the tour of downtown Kent because i was able to learn my way around not only downtown Kent but around campus as well. ",
Have a help button Incase someone forgets how to use a certain function.,I would have enjoyed meeting my advisor personally since he wasn’t there for the appointment. ,,,,,
,,,,,,
,My advisor (Katie) was so friendly and patient. She really helped me create a schedule that was perfect for me and made sure i was absolutely satisfied!,,,,,
,,,None ,None ,My favorite part of DKS was connecting with another student from southern Ohio. I enjoyed getting to know her and showing her around Kent and the surrounding areas because I am local. ,
,,,,More ‘your first class’ stuff ,The flash guides. They were the best part. ,
More information on what the test is about,,,,,,
,,,Honestly no clue because I am not good with making short term connections ,,Getting to know the flash guides was really cool ,
Make it less confusing to type in answers,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"It was quite overwhelming, but went well. ","Repetition is somewhat of a drag but it was a good introduction to the options and choices accessible to students at KSU, and minimized the informational overload well. ",,Looking at the complete four year roadmap to graduation. ,The people. ,
,,,More time to socialize ,,I loved getting to hangout with everyone at night and make friends. ,
,,,If we could have communicated with other students from different majors,No,I liked the activities and game part that took place on the end of the day ,It would have been nice if there were water bottles are if we were directed to the vending machines. 
,,,,Navigation around campus ,,
,"Because there were so many students to get through with scheduling and advising, I found myself rushing through a decision if I had to modify my schedule during the actual registration process. However, I do feel like I got to know my advisor a bit and could come to her with and concerns about my schedule when the semester starts, so I don’t feel as though anything is irreversible from my hasty decision making. ","(I think this was the session in which we all sat together at tables, grouped by similar majors?) I really liked the smaller group feel... It gave me a chance to engage with a handful of people without reeling in a sea of kids figuring out who I should engage with.  Having people’s names on the table also helped my remember people’s names better so that I could be like “hey, xxx! i say with you earlier...” and already have that connection. The environment was also chill and relaxed, which was super nice after all the hype-up stuff. ","This might sound stupid, but having the choice to go to a more relaxed session like going to one of the local coffee shops/ the used book store or a more outgoing session like frisbee/ karaoke/ volleyball would allow students to take a break from super involved activities without having to go back to the dorm with no one else around. That way they can still socialize with other incoming students, but in a quieter, less intense environment. ","Maybe mention the Wick Poetry center as another resource/ thing to get involved in? I stumbled upon the center as I browsed the Kent website a couple months ago, and was surprised I’d never been told about it during any of my visits to Kent State. ","I really liked when we had time to talk to people of similar majors in the one session with Jenga, etc. See reasons in that previous response a couple questions back :)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
To make the program not as long. ,,,,,,
,,,,,,
Do learning modules before the placement assessment ,,,,,,
"Lots of lecturing- I know it's a lot of information we need to know, but maybe split the lecturing up more. Would've loved to have more time to sit with my advisor but I understand there's a lot of students. Otherwise I had fun !",My advisor was helpful but I felt I didn't get to speak much about what I wanted. Felt rushed,,"Me not being so shy, more opportunities to talk to students.",Exploring the campus,Hearing flashguide Monica's story about how she discovered her purpose at a bible study group.,
,,,Meeting more people of my major ,N/a,The evening social activities ,
,"My meeting with an Academic Advisor to schedule classes was amazing. She made sure I was informed about transfer credit, credit hours, courses i will be taking, my schedule and where my classes were located. She also made sure to give me instructions on what to do if one of my classes was not scheduled within a week, as I had a possible conflict. However, that course was assigned the very next day with no problems. I felt so much more comfortable and less stressed after talking with her.",,,Getting to know the campus more. I was mainly in three buildings for DKS all near the others. I would have liked to see more of campus with a guide to become more familiar in the overall layout.,Scheduling my classes was my favorite part. It made me extremely excited for what is to come in the fall.,
,,,,,,
