OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,spendMoreTimeDestinationKentState,favoritePartDestinationKentState,expectedAsAKentStateStudent,anyAdditionalComments
Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
,,,,,To graduate with a diploma and give you money,
,,,,,,
,,,Campus tours,Lunch,To do my best.,
,,,,Spending a night in the dorms was very helpful.,To be involved in campus activities and maintain a solid academic record.,
,,,,,,
,,,,,,
,,,No.,It would be touring Downtown Kent. Walking around downtown was a great opportunity for me to navigate through the city of Kent even more.,"To carry myself (i.e. actions, words, decisions) in a way that represents Kent State University well. ",
,,,how college is different from high school.,Talking to the flash guides about their experiences. ,Doing my work on time without procrastinating. ,
,,,,Talking to the flashguides about how life is like on campus and their personal experiences at Kent.,Do well and show the community I can behave and be a great human.,
,,,,,,
Make sure that they set a good amount of time aside for the exam. ,Allow more time for students to plan their schedule before the meeting. ,,Make sure that students get to walk to there classes. I know it was listed on the schedule but i never got the opportunity to do so. ,My favorite part was hearing teh flashguide stories because it showed me real experiences of other students at the university. ,I believe that I am expected to follow the rules and try my best in everything that I do. ,
,,,Buying books and when to do that. ,Food.,To live up to my goals and expectations.,
,,,Timeline of billing process.,"Downtown tour, great way to get a feel of surroundings.",Succeed.,
,,,,,To pass my classes and not fail. ,
,,,,,Be self sufficient (independent) and responsible,
,,,,,,
"Level out the difficulty of the test to maybe easier questions first then harder next, because if there is just a mix and out of a sudden there pops a hard question and so you spend extra time on it and it kind of throws you off and frustrates you - causing your motivation to continue with the test to be very poor. So keep a steady balanced pace!","This was incredibly helpful! Took some time scheduling my classes , then really connected with another lovely lady! She helped me understand where my classes were and what they consisted of - appreciate that! Kent State Staff is so wonderful - in all true honesty. Lovely people - I am grateful for each and every one of you ! Peace&Love ~",It was a beautiful experience full of genuinely wonderful people and knowledge on what makes Kent State University - Undeniably Kent State! I love it so very much - I am thankful for the information and goodies too! Happy Can't wait to attend and see myself soar this Fall with the support of Kent's Staff !! I am incredibly EXCITEDD !*!*,Tours please! Also snacks would be great too! ,"I really enjoyed the downtime you guys included, really allowed things to flow nicely!   Also the Down-town tour was so much fun! Happy","** Success, and genuine Happiness.  **",I appreciate each &' every one of you supporters of my Future !!
,,,,Going into town and being able to walk around on my own and making new friends on the way.,Get involved and succeed.,
,I had an appointment at 2:30 and she didn't meet with me until 3:30 bc she was socializing.,,Student athletes that live on campus during the summer shouldn't have to attend destination Kent - at least put the athletes together and talk to them about their lifestyle adaptations because they are so different from a normal student's.,,Do well ,
"multiple choice because answers could be right, but cause you wright them in a different order then they are counted as wrong.","better backup plan, when gas leak happened leader did not know what to do and we went on wild goose chase.",,n/a,the fair,being nice,n/a
,,,,,,
,,,Tours of campus and downtown. Give more time ,The first lecture section,To grow in yourself personally and academically throughout your time as a Kent State student,N/A
,,,,I liked the night time social ,"to do the best you can, and get help by the many resources there is if you need it.",
"No, I only had to take one placement test because of my scores on my ACT.","My advisor was amazing and we actually went over our time because we were talking so much.  If I had anything to say, it would be to maybe extend the visits.",,no,Touring downtown Kent and making new friends.,"To get involved as much as possible, make friends, and be successful in my academics.",
none,,,,going to downtown kent,to strive for excellence in and out of the classroom and to support the community ,
,They did not seem very eager to figuring out how to guide my exploratory major toward my interests ,,,,Hard work and commitment ,
,,,,Meeting my roommate,To get needed credits,
No,,,No,When we went to our specific area of major and had speakers tell us more about what we're getting into and what to expect,To be involved ,Loved this opportunity! Would do it again.
,,,,,To hold up my best academic hand so I myself can move forward in my fututre while also using it to pull up and support those around me all the while.,
,,I found the Your First Class: Academic Success to be very boring ,Have people that can take you to the buildings where your classes will be held after you schedule your classes on day 2.,I really enjoyed talking to other DKS participants in the free time on night 1,"To not only get good grades, but get involved in college, find your purpose in the career force, and make life long friends.",
,,,,,To be involved and to be a respectful student who gets good grades,
,,,,,,
,,,,,To keep my grades up and to be apart of the community. ,
No,I never met with my actual advisor. ,It was fine. ,No,The flash guides. ,To be academically successful.,None.
The placement testing system for the ALEKS math is ancient and it will mark you wrong for things that are self explanatory like quotations. ,,,,,I expect myself to have a 4.0,
,,,,,,
,It was great and I learned more about the expectations. it also made me feel better and less stressed about starting college.,,I think it would be nice to see more from the flash guides and to learn more about the way around campus,my favorite part of DKS was finally getting everything scheduled and set in place. it made me feel more confident in myself.,to do my very best and love what I do.,
,,,Spend a few minutes going over the campus map ,the flash guides and staff were great,maintaining great academic skills and grades. Also making the experience for yourself and others by participating in activities,
,,,,,to be an well informed individual who enjoys the work they do bu also enjoys the fun that can be had,
,Everybody was very kind ,,Directions around the campus ,I loved the flash guides and meeting everyone ,"To be a hard worker, spirited, funny, kind person Happy ",
,,,,,,
"Don't wait until the last minute to take them! It only took about a half hour, so don't put it off. ","I've heard horror stories from my friends at other universities about scheduling. To me, this was unbelievable because I had such an easy time picking my classes and creating a schedule. Meeting with my academic advisor was fabulous, as I could actually talk to someone before I physically scheduled. It was also extremely helpful to have both the visual schedule creator and a student advisor helping me through a real schedule. ","Please, for the love of all things holy, do not hold that many meetings for so long of a time. Allow breaks. Even if they're 5 minutes. I swore I was going to cry when the health lady came on stage and I had to sit through another 45 minute presentation with no mental prep. ","I would've loved if I would've gotten more time to meet people of my college and or major. In my time at DKS, I didn't meet a single person that shared my major. I'm sure I will in the fall, but it would've been quite nice to meet someone with similar interests in the program I was in. ","Meeting new friends! It's awesome that Kent State allows and encourages students to interact with each other throughout orientation. Without that push, I'm not sure if I would've found friends there! ","To ""find my purpose"" as each speaker kept saying. I also believe I am expected to outlive boundaries that have been created for me during high school. ",
Let us go back to skipped questions,,,Immunizations,Exploring campus,Be the best flash I can be. Show support and strive for greatness. ,
"I would encourage students to take it earlier, closer to when they are let out of school. This is to gauge their knowledge better while they are still in practice. ",It was very simple and easy. ,Really long.,,Meeting some cool people and seeing the dorm life for the first time.,Success and happiness,
,,,,,To be positive and kind and to always do my best. ,
,,,,,To keep my grades up and grow as a person,
