OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,favoritePartDestinationKentState,anyAdditionalComments
Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
,"Very friendly and helpful, it would be nice to get class descriptions in the book they gave us",,,,Meeting new people and talking to my advisor/flash guides ,
Nope ,,,,,,
I took the assessment a year before DKS and do not remember enough to give accurate feedback.,"There were some technical difficulties during my scheduling session which forced my advisor to spend a little extra time with me, though thankfully it did not delay him from his next student.",There were some other sessions I would have liked to attend but didn't have the opportunity to because of the limit of four sessions.,More energy after walking all day.,Something that I would have enjoyed is a tour of where your classes would be after scheduling on day two.,"Academic advising was my favorite part because it was the most important. While getting general knowledge of the campus and the way it functions is fine, knowing how I'm going to get to my goals is much better.","You placed the karaoke session right outside of my dorm's window, which was open. It was really difficult to sleep."
,,,,,My Academic Advisor was kind and understanding of my nervousness entering college. She helped me to schedule classes that would be best for me and feel prepared to start school in the Fall. ,
,,,,,,
N/A (didn't have to take any).,,,,"Required readings/books, etc.",Having the freedom to choose what to do during the info sessions and during the evening was a blast.,
,,,,,,
,,,,,,
I took mine as a CCP student ,You are so stuck on the credit aspect of my schedule that you are not listening to my needs. Please keep in mind some students have to pay for college themselves and don't have the money to waste on classes that are pointless and don't contribute to my degree.,Please make this more engaging for students who have already been going to college as a CCP student. It was very repetitive and no matter how many times everyone at Kent campus swore it was completely different than the one I had to go to in Twinsburg I could not find anything besides resident services to be different. ,Not feeling forced to attend another orientation after I already attended one,You should add a shorter alternative program for CCP students because I already was told everything that was said in the orientation. Also if you are going to swear it is entirely different than the orientation on another campus actually make it entirely different. This was my second orientation and I was not happy to find out it was basically the same after everyone telling me it was entirely different. The only thing that was different was resident services which you shouldn't make all the students listen to if you are not staying in the residence halls. ,Nothing I really didn't appreciate having to go through another orientation just to find out they are telling me the exact same thing. It was a hassle to schedule and a waste of my time I took off work for this. I have to pay for college myself and I had to take an entire day off just to attend this. ,"Please, Please, Please make it more engaging for students that already have college experience. It is rather unfair to force them to sit through all the intro stuff they already had to listen too. Try to make more options for students that are not commuting I felt really out of place because most of the speeches included things about living on campus which doesn't apply to me. Also, try not to lie to students and force them to take another orientation when it really isn't ""Completely different."" This is a quote multiple people on the Kent campus told me which was false. "
Take them as soon as you possibly can to prevent forgetting ,,,,,My favorite part of the experience was scheduling my classes and hearing the flashguide confessions and stories,
,,,,,,
,,,,,,
stop making it so hard,,,,,,
,My advisor was very helpful and kind in all areas. ,,,,The staff and students were all very nice and helpful. ,
"The test did not work and skipped several sections that I did not even get tested on ... just offered me a 0 for that particular section and as a result, I have  to take a boost class.  Not at all happy with how the placement test performed. I do not care about my score as long as it is my actual score",It is very reassuring when your advisor really seems to care about you personally.,,I was good. Did not need anything more in the way of a connection for that particular day,Should have spent more time on resources and personalizing the DKS event if you are going to have a limited number of students attend at a time.,I really enjoyed the resources just outside the ballroom and would have liked to have spent more time with that.,
,,,,,,
,,,,,My favorite part was the dining sessions and seeing the dining halls available to me.,
It’s very simple and easy to use. Just done overthink it and read the prompts and tutorial ,"My advisor, Mr. Giles, was very welcoming and made me feel like I wasn’t just another student. He helped answer all of my questions and made my experience fun and productive. ",,"I think since we were all thrown into these activities together that really helped us bond, but a lot of people came with friends so it was somewhat cliquish. ",,Getting to be in a classroom that my major specifically will use often as well as getting to experience the class atmosphere with a teacher. ,
,Very helpful.  Made me feel very comfortable and found we live ear each other.,,,,,
,,,,,,
,,"Most of the talks, especially on day 1, tried to sell us to attend Kent State. We are already going to Kent State if we are at orientation, SO PLEASE DON’T SELL US ON KENT STATE FOR 3 STRAIGHT HOURS AT ORIENTATION!",More time to spend with my roommate,"Useful information for Kent students, not trying to sell us on attending Kent State.",The downtown tour and events after that.,Don’t sell us on Kent State when we are at orientation: we are already going to come to Kent!
,,,,,,
,,,,,,
,,,in the same college,,Flashguide stories,
,,,,,,"Too much talking at the beginning of the first day, too long of a program could’ve been completed in one day"
,,,More time to mingle with each other naturally instead of forced ,,"The people. Everyone that spoke and all the flash guides were super helpful, really nice, and really sincere. ",
,,,,,,
,,,,,,
,,,,,,
give yourself a good amount of time to do it and take it seriously.,,,,,,
,,,,,,
,,,,,,
Nope,,,,,,
,,,,,,
,,,Maybe pairing us with our roommate during a portion of the day would’ve helped make a connection between students. ,,I really enjoyed the info provided and seeing the campus,
,,,,,,
,,,"I did make a few connections; however, I could have made more if I were more confident or more approachable.",,"I truly enjoyed the experience as a whole, but my favorite part was probably during the drop-in sessions because it felt really good to get my mom more involved in understanding what to expect during the rest of the enrollment process and in future years.",
,"Very helpful for working around who i am so my classes and schedule fit comfortably but still provide what i want to get out of my academics. She was easy to connect with and made me feel at ease about the whole scenario,  11/10 experience,  everything i hoped for and more.",,"More people from my major, more major based activities (more activities geared towards nerdier people in general) more icebreaker get to know you stuff because i am a shy nerd but i like to get to know people.","Let the parents break off earlier, it felt hovery and us students didn't get as much time as we needed to find our own niches, because parents. ",Playing Mario Cart with the Tech people.,IM SO EXCITED 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
On my phone I couldn't see how many questions were left while I was taking it.,,,Having a roommate,I thought it was weird that the Jewish student organization wasn't in the diversity session ,,
,,,Knowing what major they were in always helped creating a conversation.,No,"When the people with the same major gathered and went to our professor. It was cool knowing who would be in my class, along with finding out what my major was exactly. ",
,,,,,,
,,,More time in smaller groups kinda hard when everyone is with their parents ,,Walking around getting to see everything,
,"It took a long time, I was confused and stressed out because I’ve never scheduled before and it felt like everyone just kept saying it’s your schedule but I had no idea what I was doing.",Way TOO long,"Being in groups of things you have in common, not just your major. ",,Talking to a career advisor ,"Don’t make it 2 days long, especially if the students are commuting there’s no reason to stay in a dorm or over night. "
,,,,,,
,,,,,,
,,,,,,
,,,"Being put into a small group within my major, and spending more time with them ",Getting involved ,Meeting new people ,
,,,,,Tour of downtown kent,
N/A,"My advisor is awesome! She was very organized, and the process went very smoothly. ",N/A,Allotting more time for icebreakers in small groups. ,N/A,I enjoyed the flashguides’ stories and advice- it was very helpful going into a new setting! ,
Not really I feel that it’s pretty straight forward for the user,,,Just talking to more people ,,Just getting to meet other people that are similar to me,
,,,More time to find common interests and team building games/get to know you games,Getting familiar with campus and better communication as to where things are,Advising appointment was awesome,
,,,Just making simple conversation and going from there,It was good,Glow party,
,My advisor for the day was genuinely set on making sure I was comfortable and that I was excited to come to school. He fully made sure that I was fulfilling what I want to do through my classes. The advisors are helpful beyond words and I’m glad they care about each student on such a personal level. ,,"The social activities gave us that foundation for the opportunity to make friends. I was able to meet people and find common interests quickly, and I was even able to hang out with them throughout the night. ","Maybe a little bit more of a campus tour, one that goes more in depth than just the college tour taken before making a college decision. ","Meeting everyone. I especially enjoyed hanging out in my own college’s group. The CCI students are some of the most kind, genuine people I’ve met, and I found it easy to get along with them and make connections. ",
,,,,individual help rather than large groups ,,
,,,Meeting people that had the same major as me,Meet students that are taking the same major as you.,Scheduling classes because my academic advisor helped me a lot with deciding on what time me I should have my classes. As well as telling me how much time it would take to walk from one building to another.,
,,,,,,
,,,Small group that we were with all day,The different dorm rooms,,
,,,,,,
,,,,,,
,,,Dedicated time allotted through the day where you have a partner to travel around with.,,"Signing up for classes, the environment was relaxing and allowed me to focus.",
,,,,,,
,,,,,,
,I hoped to have more freedom in choosing my classes.,,Better/more evening games,Spend more time on class scheduling,The evening social,
,,,"Depending on your major, the social activities we did","More about the campus, I haven’t seen half of the campus yet and it would’ve been cool to have a choice to either have a tour downtown or tour the whole campus",My favorite part was when we all had fun during the glow party and the 10th floor hang out. The food was also my favorite part,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
no i’m just bad at math,,,nothing. ,,scheduling classes now i know what classes i’ll be taking,
I do not,I have none,I have nothing to say besides that my judgement may have been a bit off due to a lack if sleep.,"If I had slept the night prior it would have been a lot easier. So basically there’s nothing you guys could do, it’s all my faults.","No, I think you covered quite a bit.",The part where I got to sleep after over 24 hours of being awake.,I have none.
,,,,,,
,,,,,,
,,,,,,
No,Maybe don't give me an advisor that I won't have all year.,,I'm not entirely sure. I just wish I would have reached out a little more. ,Finding buildings.,"Not gonna lie, it was the food. I loved the aura of the dining hall, and the opportunity to socialize without any expectations. ",
,,,,,,
,It was very helpful  ,,,,,
,,,Not having parents there ,,Going and exploring the town that night. ,
,,,,,,
,,,,,,
,,,,,,
Study as much information as you can prior to taking the assessment ,,,,Possibly talk about the clubs more.,Going to Downtown Kent with a whole bunch of people and connecting with some of them.,
,,,,,,
No,I liked how they walked through what I would have to do in order to graduate,,If we had more tags on our badges that went into interests. So that we knew what people liked and we could bond off of that.,Maybe the flashguides should tell some stories about events that occur around campus,My favorite part was being able to bond with the other freshman,N/a
,,,,,,
,,,,,,
,,,,,,I just don’t like that we still don’t know where I’m staying or who my roommate is? I would be nice to know
,,,More “getting to know you” sort of games  Breaking up into groups outside of our majors,,,
,,,,,,
,,,,,,
 Make it slightly easier to input answers,It’s was perfect for me,It was very informative,The activities were fun but were fun for a short amount of time,Do’s and Do not’s  at college,Intro of flash guides ,A lot of info in a very short amt of time
,,,It was hard to get to know others when most of the first day we were pretty much only with ours families and guests. Separation from guests would have likely led to more connections.,,,
,,,,,,
STUDY! STUDY! STUDY!,The advisor was very generous and helped me understand everything.,,"Playing basketball, and communicating with one another.",Freshman and having cars on and off campus,Meeting with the flash guides and new students,
No,"It was very informative, and the instructions given when scheduling classes were easy to follow ",N/A,"Saying ""Hi"", and introducing myself, but I'm a shy person in general, so meeting just one person was okay with me.",No,meeting with my advisor and scheduling classes,
"Have some warnings to send you to the before you take, I didnt know about those till after words or such rules involved with it all ",,,,,Connecting to peers and doing it all together ,
No,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,Meeting everyone ,
,,,Our majors and interest as well as past experiences.,May mine spend more time on learning the campus.,The flash guides and their stories and experiences.,N/A
,,,,,,
,,,,,,
,,,,.,.,.
NA,NA,Na,,More time spent navigating the halls ,Advising  ,NA
,,,Evening activities and downtime during walks and between sessions. ,,,
,I absolutely loved my stay ,,,,Meeting everybody and knowing there’s always somebody there to help. ASK QUESTIONS ,
,,,,,,
